#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-06T02:21:49 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ60bc30f23a49bc
#INFO	-out.max=9999
#INFO	queryParameters=16
#-oc.form=dec
#-out.max=9999
#-order=I
#-nav=cat:J/AJ/153/208&tab:{J/AJ/153/208/table1}&key:source=J/AJ/153/208/table1&HTTPPRM:&&-ref=VIZ60bc30f23a49bc&-out.max=9999&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/AJ/153/208/table1&-out=Name&Name=HD190406*&-out=BJD&-out=RV&-out=e_RV&-out=S&-out=H&-out=Count&-out=Exp&-out=Nrv&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-out.src=J/AJ/153/208/table1
#-source=J/AJ/153/208/table1
#-out=Name
#Name=HD190406*
#-out=BJD
#-out=RV
#-out=e_RV
#-out=S
#-out=H
#-out=Count
#-out=Exp
#-out=Nrv
#
#
#RESOURCE=yCat_51530208
#Name: J/AJ/153/208
#Title: LCES HIRES/Keck radial velocity Exoplanet Survey (Butler+, 2017)
#Table	J_AJ_153_208_table1:
#Name: J/AJ/153/208/table1
#Title: Radial velocities and chromospheric activity indices of all program stars (corrected velocities in Tal-Or et al, 2019, Cat. J/MNRAS/484/L8)
#Column	Name	(a14)	Target identifier	[ucd=meta.id;meta.main]
#Column	BJD	(F13.5)	Barycentric Julian Date	[ucd=time.epoch]
#Column	RV	(F9.2)	[-39874.3/42363.6] Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F6.2)	[0.01/252.9] 1{sigma} uncertainty in RV	[ucd=stat.error]
#Column	S	(F7.4)	[-5.5/68.9] Chromosperic activity index S-index (1)	[ucd=spect.index]
#Column	H	(F8.5)	[-1/0.11]? Chromosperic activity index H-index (2)	[ucd=spect.index]
#Column	Count	(I6)	[67/616935] Median photons per pixel	[ucd=phot.count;arith.ratio]
#Column	Exp	(I4)	[-1/2551] Exposure time	[ucd=time.duration;obs.exposure]
#Column	Nrv	(I3)	Number of radial velocity measurements (table1) [NULL integer written as an empty string]	[ucd=meta.number]
Name|BJD|RV|e_RV|S|H|Count|Exp|Nrv
HD190406      |2454702.00252|    -8.52|  1.39| 0.1664| 0.03028| 72716|  31|188
HD190406      |2454702.00341|   -11.03|  1.39| 0.1677| 0.03032| 75080|  31|188
HD190406      |2454702.00439|   -13.40|  1.50| 0.1694| 0.03028| 71827|  33|188
HD190406      |2454702.91640|   -10.64|  1.22| 0.1586| 0.03035| 75800|  20|188
HD190406      |2454702.91715|   -13.14|  1.29| 0.1573| 0.03031| 78355|  21|188
HD190406      |2454702.91789|   -13.15|  1.35| 0.1588| 0.03030| 77932|  22|188
HD190406      |2454702.91862|   -13.17|  1.42| 0.1569| 0.03030| 73969|  20|188
HD190406      |2454702.91936|   -15.81|  1.47| 0.1564| 0.03035| 75216|  21|188
HD190406      |2454702.92012|   -11.46|  1.32| 0.1589| 0.03031| 76032|  22|188
HD190406      |2454703.97076|   -10.66|  1.44| 0.1737| 0.03019| 73999|  27|188
HD190406      |2454703.97157|   -14.55|  1.30| 0.1740| 0.03026| 73776|  26|188
HD190406      |2454703.97238|   -10.76|  1.42| 0.1724| 0.03019| 77013|  27|188
HD190406      |2454703.97317|    -7.72|  1.45| 0.1724| 0.03026| 74773|  26|188
HD190406      |2454703.97398|   -12.37|  1.32| 0.1726| 0.03027| 76838|  25|188
HD190406      |2454704.91875|   -13.97|  1.53| 0.1571| 0.03035| 78858|  38|188
HD190406      |2454704.91961|    -8.59|  1.27| 0.1520| 0.03030| 77053|  23|188
HD190406      |2454704.92037|    -7.10|  1.37| 0.1515| 0.03033| 75873|  24|188
HD190406      |2454704.92115|    -6.18|  1.31| 0.1521| 0.03037| 74613|  22|188
HD190406      |2454704.92193|   -11.84|  1.39| 0.1514| 0.03035| 76819|  26|188
HD190406      |2454704.92273|    -7.60|  1.23| 0.1528| 0.03034| 75487|  24|188
HD190406      |2454717.93071|   -14.70|  1.55| 0.1644| 0.03026| 44650|  17|188
HD190406      |2454718.98638|   -15.98|  1.38| 0.1771| 0.03024| 45236|  16|188
HD190406      |2454721.97006|    11.25|  1.57| 0.1828| 0.03033| 44752|  33|188
HD190406      |2454722.86964|     0.48|  1.46| 0.1765| 0.03032| 43850|  16|188
HD190406      |2454724.92634|    -8.47|  1.47| 0.1834| 0.03038| 47650|  17|188
HD190406      |2454777.81588|    -5.07|  1.66| 0.1904| 0.03008| 46564|  20|188
HD190406      |2454808.70677|    -5.90|  1.65| 0.1673| 0.03024| 46947|  13|188
HD190406      |2454819.70767|    -1.72|  1.41| 0.1789| 0.03021| 73373|  38|188
HD190406      |2454819.70862|    -1.26|  1.41| 0.1850| 0.03023| 75413|  37|188
HD190406      |2454819.70955|    -4.83|  1.51| 0.1814| 0.03030| 75408|  37|188
HD190406      |2454819.71050|     3.03|  1.41| 0.1760| 0.03022| 77010|  37|188
HD190406      |2454819.71146|    -1.01|  1.43| 0.1773| 0.03019| 75010|  45|188
HD190406      |2454819.71249|    -2.41|  1.44| 0.1763| 0.03027| 72605|  43|188
HD190406      |2454820.72579|   -10.67|  1.48| 0.1866| 0.03025| 75075|  75|188
HD190406      |2454820.72709|   -14.72|  1.41| 0.1925| 0.03028| 75974|  63|188
HD190406      |2454820.72837|    -6.57|  1.55| 0.1868| 0.03030| 76769|  75|188
HD190406      |2454820.72976|    -9.27|  1.46| 0.1860| 0.03026| 76128|  78|188
HD190406      |2454821.71404|   -11.35|  1.47| 0.1429| 0.03032| 80970| 228|188
HD190406      |2454821.71694|   -11.66|  1.26| 0.1421| 0.03033| 83398| 188|188
HD190406      |2454929.13029|    -3.81|  1.55| 0.1759| 0.03042| 51506|  15|188
HD190406      |2454930.12358|    -7.53|  1.91| 0.1705| 0.03050| 45823| 572|188
HD190406      |2454935.13068|    -1.03|  1.57| 0.1698| 0.03057| 45626| 231|188
HD190406      |2454968.08669|    -8.06|  1.54| 0.1625| 0.03050| 75422|  66|188
HD190406      |2454968.08977|    -6.44|  1.55| 0.1645| 0.03046| 61858| 600|188
HD190406      |2455022.06585|    -9.03|  1.47| 0.1591| 0.03031| 75982|  16|188
HD190406      |2455022.06684|    -5.64|  1.40| 0.1578| 0.03029| 77314|  28|188
HD190406      |2455022.06766|    -6.52|  1.32| 0.1551| 0.03025| 76175|  27|188
HD190406      |2455022.06861|    -9.01|  1.45| 0.1591| 0.03025| 78638|  30|188
HD190406      |2455022.06948|    -7.33|  1.45| 0.1602| 0.03027| 78034|  29|188
HD190406      |2455022.07034|    -6.97|  1.27| 0.1541| 0.03029| 77231|  29|188
HD190406      |2455023.05552|    -0.64|  1.34| 0.1666| 0.03026| 76102| 145|188
HD190406      |2455023.05698|    -6.67|  1.49| 0.1655| 0.03036| 75907|  60|188
HD190406      |2455023.05815|    -2.65|  1.42| 0.1666| 0.03027| 75235|  92|188
HD190406      |2455023.84293|   -11.08|  1.46| 0.1617| 0.03036| 74687| 109|188
HD190406      |2455023.84554|   -11.22|  1.34| 0.1630| 0.03035| 75747| 176|188
HD190406      |2455023.84789|   -10.30|  1.49| 0.1641| 0.03036| 75369| 164|188
HD190406      |2455023.84956|    -7.81|  1.41| 0.1635| 0.03040| 74735|  48|188
HD190406      |2455025.07043|   -10.89|  1.45| 0.1642| 0.03028| 77235|  20|188
HD190406      |2455025.07130|   -11.81|  1.35| 0.1619| 0.03028| 76101|  20|188
HD190406      |2455025.07204|   -14.47|  1.48| 0.1621| 0.03026| 79211|  21|188
HD190406      |2455025.07282|   -12.59|  1.45| 0.1658| 0.03033| 77950|  24|188
HD190406      |2455025.07360|    -9.64|  1.37| 0.1630| 0.03030| 76953|  21|188
HD190406      |2455025.07434|   -13.05|  1.44| 0.1654| 0.03031| 77004|  20|188
HD190406      |2455041.86539|    -0.79|  1.77| 0.1623| 0.03036| 47403|  14|188
HD190406      |2455053.98429|    -8.95|  1.63| 0.1647| 0.03039| 76875|  21|188
HD190406      |2455053.98502|    -9.85|  1.96| 0.1623| 0.03050| 76979|  20|188
HD190406      |2455053.98579|    -2.53|  1.83| 0.1631| 0.03051| 79326|  22|188
HD190406      |2455053.98655|    -6.46|  1.68| 0.1615| 0.03051| 76498|  21|188
HD190406      |2455053.98744|    -0.29|  1.91| 0.1634| 0.03048| 77626|  21|188
HD190406      |2455053.98819|    -6.98|  1.71| 0.1639| 0.03046| 76944|  21|188
HD190406      |2455076.73898|    -0.97|  1.54| 0.1748| 0.03059| 52786|  14|188
HD190406      |2455079.73335|    -3.16|  1.51| 0.1765| 0.03043| 47470|  17|188
HD190406      |2455106.90538|    15.49|  1.57| 0.1826| 0.03044| 49806|  32|188
HD190406      |2455143.77966|     0.62|  1.52| 0.1702| 0.03029| 75977|  51|188
HD190406      |2455143.78074|     4.80|  1.51| 0.1695| 0.03029| 73058|  50|188
HD190406      |2455143.78181|     0.60|  1.32| 0.1708| 0.03025| 74606|  40|188
HD190406      |2455166.76740|    -3.02|  1.39| 0.1806| 0.03015| 77137|  44|188
HD190406      |2455166.76843|    -4.47|  1.48| 0.1842| 0.03016| 76244|  46|188
HD190406      |2455166.76950|    -3.62|  1.44| 0.1824| 0.03013| 78035|  50|188
HD190406      |2455166.77054|    -2.86|  1.43| 0.1808| 0.03014| 77899|  41|188
HD190406      |2455167.76895|    -1.86|  1.40| 0.1851| 0.03013| 77602|  26|188
HD190406      |2455167.76977|    -3.41|  1.34| 0.1838| 0.03010| 77225|  27|188
HD190406      |2455167.77059|    -2.45|  1.37| 0.1902| 0.03009| 79518|  27|188
HD190406      |2455167.77141|    -7.83|  1.30| 0.1901| 0.03010| 77069|  27|188
HD190406      |2455167.77229|    -3.61|  1.38| 0.1847| 0.03009| 76520|  38|188
HD190406      |2455168.73347|     0.00|  1.43| 0.1789| 0.03021| 79654|  39|188
HD190406      |2455168.73446|    -0.52|  1.46| 0.1772| 0.03017| 78114|  40|188
HD190406      |2455168.73554|    -0.70|  1.45| 0.1797| 0.03024| 79285|  41|188
HD190406      |2455168.73657|     1.05|  1.35| 0.1757| 0.03028| 76674|  48|188
HD190406      |2455169.75943|     3.97|  1.61| 0.1822| 0.02987| 48157|  19|188
HD190406      |2455169.76024|     0.16|  1.65| 0.1892| 0.02998| 50500|  21|188
HD190406      |2455169.76104|    -1.90|  1.61| 0.1718| 0.02987| 47815|  19|188
HD190406      |2455290.15021|     8.57|  1.47| 0.1611| 0.03038| 51649|  15|188
HD190406      |2455313.13701|    10.37|  1.66| 0.1686| 0.03042| 53501|  13|188
HD190406      |2455404.90480|    18.39|  1.44| 0.1610| 0.03054| 50414|  26|188
HD190406      |2455437.00539|    25.51|  1.48| 0.1754| 0.03041| 48391|  25|188
HD190406      |2455542.69056|    34.12|  1.44| 0.1573| 0.03027| 53494|  17|188
HD190406      |2455723.00904|    72.14|  1.56| 0.1717| 0.03048| 48770|  47|188
HD190406      |2455785.96204|    53.25|  1.60| 0.1716| 0.03046| 47571| 315|188
HD190406      |2455842.79131|    70.04|  1.94| 0.1524| 0.03000| 22722| 499|188
HD190406      |2455842.79532|    74.05|  1.41| 0.1527| 0.03028| 47065| 157|188
HD190406      |2455842.79713|    75.93|  1.54| 0.1568| 0.03037| 48377|  73|188
HD190406      |2456099.12815|   131.73|  1.75| 0.1776| 0.03058| 50872|  13|188
HD190406      |2456104.96755|   134.21|  1.51| 0.1730| 0.03060| 48588|  13|188
HD190406      |2456166.74564|   139.20|  1.78| 0.1797| 0.03052| 51730|  13|188
HD190406      |2456452.07152|   239.69|  1.39| 0.1709| 0.03063| 48405|  21|188
HD190406      |2456452.07227|   232.70|  1.55| 0.1716| 0.03062| 51312|   0|188
HD190406      |2456452.07300|   240.25|  1.52| 0.1685| 0.03056| 52144|  16|188
HD190406      |2456494.88740|   253.13|  1.42| 0.1726| 0.03044| 48511|  98|188
HD190406      |2456519.01260|   268.30|  1.60| 0.1735| 0.03051| 48468| 121|188
HD190406      |2456547.75356|   269.79|  1.57| 0.1726| 0.03055| 48689|  11|188
HD190406      |2456613.79329|   294.01|  1.55| 0.1771| 0.02991| 50517|  24|188
HD190406      |2456637.68227|   312.21|  1.68| 0.1663| 0.03033| 48863|  16|188
HD190406      |2456831.12167|   397.37|  1.44| 0.1821| 0.03041| 48452|  14|188
HD190406      |2456831.12233|   393.45|  1.55| 0.1845| 0.03044| 50352|  14|188
HD190406      |2456831.12299|   388.36|  1.57| 0.1852| 0.03042| 50122|  15|188
